,text,label
33,"at #sxsw.  oooh. rt  google to launch major new social network called circles, possibly today",No emotion toward brand or product
34,"the best!  rt  ha! first in line for #ipad2 at #sxsw ""pop-up"" apple store was an event planner #eventprofs #pcma #engage365",Positive emotion
35,spin play - a new concept in music discovery for your ipad from  & spin.com  #itunes #sxsw,No emotion toward brand or product
36,- false alarm: google circles not coming nowand probably not ever? -  #google #circles #social #sxsw,Negative emotion
37,vatornews - google and apple force print media to evolve?  #sxsw,No emotion toward brand or product
38,"- great weather to greet you for #sxsw! still need a sweater at night..apple putting up ""flash store"" downtown to sell ipad2",Positive emotion
39,"hootsuite - hootsuite mobile for #sxsw  updates for iphone, blackberry & android: whether youre getting friend...",No emotion toward brand or product
40,hey #sxsw - how long do you think it takes us to make an iphone case? answer  using #zazzlesxsw and well make you one!,No emotion toward brand or product
41,mashable! - the ipad 2 takes over sxsw video #ipad #sxsw #gadgets,No emotion toward brand or product
42,for i-pad ?rt  new #ubersocial for #iphone now in the app store includes uberguide to #sxsw sponsored by ...,No emotion toward brand or product
43,#ipad2 's #smartcover opens to instant access - i should have waited to get one! -  #apple #sxsw,Positive emotion
44,hooray rt  apple is opening a pop-up store in austin for #sxsw,Positive emotion
45,orly....?  google set to launch new social network #circles today at #sxsw,No emotion toward brand or product
46,wooooo!!!  apple store downtown austin open til midnight. #sxsw,Positive emotion
47,"khoi vinh ( says conde nast's headlong rush into ipad publishing was a ""fundamental misunderstanding"" of the platform #sxsw",No emotion toward brand or product
48,"-- help me forward this doc to all anonymous accounts, techies,& ppl who can help us jam #libya #sxsw",No emotion toward brand or product
49,what?    #edchat #musedchat #sxsw #sxswi #classical #newtwitter,No emotion toward brand or product
50,"on the location-based 'fast, fun and future' -  (via  #sxsw",No emotion toward brand or product
51,#google will connect the digital & physical worlds through mobile -  #sxsw,No emotion toward brand or product
52,talking about  - google's effort to allow users to have open systems #bettercloud #sxsw,Positive emotion
53,"rt  ""google before you tweet"" is the new ""think before you speak."" - mark belinsky, #911tweets panel at #sxsw.",No emotion toward brand or product
54,rt  1st stop on the #sxsw #chaos &  hunt: austin java. get in the spy game 4 a chance 2 win an ipad!,Positive emotion
55,rt  those at #sxsw check out the holler gram ipad app from,No emotion toward brand or product
56,&   having fun at #google pic #sxsw,No emotion toward brand or product
57,"""via  :  guy kawasaki talks 'enchanted' at sxsw - he knows his stuff! #books #internet #apple #sxsw  """,No emotion toward brand or product
58,"#futuremf   spec for recipes on the web, now in google search:   #sxsw",No emotion toward brand or product
59,#omfg! rt  heard about apple's pop-up store in downtown austin? pics are already on gowalla:  #sxsw #ipad2,Positive emotion
60,"#smile rt  i think apple's ""pop-up store"" in austin would be a lot more interesting if it actually, you know... popped up #sxsw",No emotion toward brand or product
61,agree. rt  wait. fiona apple is in town??? somebody kidnap her and put her in a recording studio until she records a new album. #sxsw,No emotion toward brand or product
62,at #sxsw?    wanna buy you a drink. 7pm at fado on 4th.  join us!,No emotion toward brand or product
63,attending  ipad design headaches #sxsw,Negative emotion
64,check out   &  in line for their ipad 2 in austin. power to them! #sxswi #sxsw,Positive emotion
65,check! rt  giving added value to location based services needs to battle check-in fatigue #google #pnid #sxsw,No emotion toward brand or product
66,chilcott:  #sxsw stand talking with blogger staff. too late to win competition for best tweet mentioning  so no t-shirt.,No emotion toward brand or product
67,"do it. rt  come party w google tonight at #sxsw!  - bands, food, art, ice cream, nifty interactive maps!",Positive emotion
68,gowalla's  promises to launch foursquare check-in  groupon rewards-type service at #sxsw. finger's crossed.,No emotion toward brand or product
69,"ha.ha. rt  #sxsw news: yahoo.com is loosing search traffic to new site, google.com. doubt it will last tho w that weird name.",No emotion toward brand or product
70,holla! rt  at google party. best ever! get your butt over here. #sxsw,Positive emotion
71,i love my  iphone case from #sxsw but i can't get my phone out of it #fail,Positive emotion
72,i worship   #sxsw,No emotion toward brand or product
73,"ipad2? rt  droid & mac here :) rt  my #agnerd confession, using laptop, ipad & blackberry to follow #sxsw",No emotion toward brand or product
74,"launching  #sxsw? rt   denies social network called circles will debut today, despite report",No emotion toward brand or product
75,new post:  iphone app makes it easy to connect on all social networks with people you meet   #sxsw,Positive emotion
76,nice that  iphone app is behaving today. crashes yesterday were ridiculous. #sxsw,Positive emotion
77,nice!  rt  apple opening popup store for ipad launch in downtown austin during #sxsw  via,No emotion toward brand or product
78,"nice!! rt  hey, apple fans! get a peek at the space that's slated to be a pop-up #sxsw apple store tomorrow:",Positive emotion
79,"one thing  is doing so great is get a great, down to earth face to google as a company - you can only love her #sxsw #sxwsi",Positive emotion
80,stay tune  showcase #h4ckers  #sxsw,No emotion toward brand or product
81,thank you   for the #touchingstories preso #sxsw . here's their deck,No emotion toward brand or product
82,thank you  for an awesome #sxsw party!,No emotion toward brand or product
83,"thanks rt  if you're trying to contact friends or family in #japan,  has created a person finder:  #sxsw",No emotion toward brand or product
84,thanks to  for her mention of our new #speech ipad apps being showcased at the #sxsw conf.  #sxswh #sxsh,Positive emotion
85,thanks to  for publishing the news of our new medical apps in the #sxswi conf. blog  #sxsw #sxswh #mhealth,No emotion toward brand or product
86,what !?!?   #sxsw does not provide iphone chargers?!?  i've changed my mind about going next year!,Negative emotion
87,wonder if  &  will be in the apple flashmob: tcrn.chfcs45j #sxsw #ipad2,No emotion toward brand or product
88,wonder if  is putting tips from the  api... #sxsw #suxsw,No emotion toward brand or product
89,"xmas!! rt  shiny new    apps, a new  book, pop-up ipad 2 stores... #sxsw is christmas for nerds.",Positive emotion
90,"yes!!! rt  hey  , i've got another gem for you -- free  sxsw  #sxsw",No emotion toward brand or product
91,"fast, fun & future:  of google presenting at #sxsw on search, local and mobile",Positive emotion
92,gsd&m & google's industry party tonight  - see u there!  #sxsw #austin #welivehere #gsdm,No emotion toward brand or product
93,"headline: ""#ipad 2 is the must-have gadget at #sxsw"" hmm... i could have seen that one coming!  #gadget",Positive emotion
94,"""google launched checkins a month ago."" check ins are ok, but check outs are the future. #sxsw #bizzy",Positive emotion
95,"attending ""left brain search  google, right brain search  x""  #bettersearch  -- talking about the future of search engines at #sxsw",No emotion toward brand or product
96,"#hp opens ""mobile park""  & content incubator at #sxsw     #apple  constructs  ""pop-up"" store",No emotion toward brand or product
97,"kawasaki: ""not c.s. lewis level reasoning, but apple's continued existence is evidence for the existence of god"" #bawling #sxsw",Positive emotion
98,"kawasaki: ""pagemaker saved apple."" oh those were the days. #sxsw #jwtatl #enchantment",No emotion toward brand or product
99,"unboxing. #apple #sxsw   apple store, sxsw",No emotion toward brand or product
100,"#sxsw and #apple ipad 2's are great, but thoughts are w japan and apac regions dealing w earthquake & tsunami trauma. #sxswi",Positive emotion
101,"at #sxsw, #apple schools the #marketing experts  sxsw - cnet blogs",No emotion toward brand or product
102,"temporary #apple store is def not a tent, it's a powerhouse gym #sxsw",Positive emotion
103,"temporary #apple store on 6th and congress for #sxsw, along with 10,000 very happy hipsters.",Positive emotion
104,#apple wins #sxsw  opening a temporary store in downtown austin to support #ipad2 launch - that is good.,Positive emotion
105,#ipad and #austin are trending today. have fun at #sxsw all you nerdy nerds!!!,Positive emotion
106,"headed to #austin for #sxsw? check out my map for newbies    ,   enjoy!",No emotion toward brand or product
107,funny how #austin is trending but not #sxsw. only a matter of minutes at this point (at least according to twitter for iphone).,No emotion toward brand or product
108,christian #ipad #iphone devs i want to talk to u at #sxsw or after -maybe we can wk together on cool app!  me,Positive emotion
109,#sxsw #ux #ipad #uxdes remember to ultimately be aware of the audience your app is targeted towards. an unexpected experience can be good.,No emotion toward brand or product
110,the apple #ipad2  has taken #sxsw and #austin by storm..    excited to a be a part #mobile,Positive emotion
111,i can haz #ipad2 ifrom #sxsw gr8,Positive emotion
112,"stacks of #ipad2's waiting to be bought at #sxsw. i got mine, no hassle at all. apple handled this perfectly",Positive emotion
113,"#google's #mobile future, and the elusive 'power of here' -  (via  #eurorscg #sxsw #sxswi",No emotion toward brand or product
114,"for those #notatsxsw (or at #sxsw), here's  free to download and meet nearby peps",No emotion toward brand or product
115,does your #smallbiz need reviews to play on google places...we got an app for that.. #seo #sxsw,No emotion toward brand or product
116,"#samsung, #sony follow #apple, #hp lead   #austin #atx #sxsw",No emotion toward brand or product
117,"take that #sxsw ! rt  major south korean director gets 130,000 to make a movie entirely with his iphone.",Positive emotion
118,"beautiful #sxsw ( apple store, sxsw) pic:",Positive emotion
119,q1 was at #sxsw #sxswi for prep. amazing pre push locally. focus on location based. google owns 10 of the regions billboards. #pr20chat,No emotion toward brand or product
120,any other #sxsw accounts i need to follow or apps to download for iphone?,No emotion toward brand or product
121,headed to #sxsw and want to sharegather contact info?  can turn your iphone into a business card broadcaster.,No emotion toward brand or product
122,btw - the #sxsw apple store is sold out of all 3g models (vzw & at&t).,No emotion toward brand or product
123,temporary #sxsw apple store. apple being sneaky as usual,Positive emotion
124,anyone at #sxsw been by the pop-up apple store in austin? that's gotta be a hopping place today.,No emotion toward brand or product
125,#sxsw beta testing interactive book for ipad app by moonbot studios out of louisiana.  cool app.,Positive emotion
126,apple won #sxsw from day one. seeing a ton of #ipad2,Positive emotion
127,#fastball #sxsw giving away two new ipad2 wifi 32g black apple cover tweet  fo more info #sxswi #attsxsw  tonight  bo.lt house,No emotion toward brand or product
128,anyone at #sxsw had a chance to check out the pop-up apple store? wondering if it is worth the trek from the convention center...,No emotion toward brand or product
129,#sxsw ipad store sold out of everything except 64gig wifi only white  did you manage to get yours?,Positive emotion
130,#sxsw ipad store sold out of everything except 64gig wifi only white also known as the white jeans configuration.,Positive emotion
131,offered a #sxsw ipad promo to ninjafinder users and fans who are not here at #sxsw. sucks to not be here. #sxsw,Positive emotion
132,#sxsw is an austin conference. do a google search - they have interactive  music  film.,No emotion toward brand or product
133,anyone at #sxsw know if apple will be (or is) selling ipad 2 there?,No emotion toward brand or product
134,anyone at #sxsw know if the apple store has had a new shipment of ipads yet?,No emotion toward brand or product
135,marc ecko #sxsw launches #iphone app. to autodial political change!  #edreform #edtech #eduvc #fightthepaddle,No emotion toward brand or product
136,#poursite #sxsw learning about the life-changing impact of the ipad on real people's actual lives - bravo!,Positive emotion
137,"more free #sxsw mp3 downloads, this time from itunes:",No emotion toward brand or product
138,anyone at #sxsw or heading to aclu event seen owt to do with google circles then?,No emotion toward brand or product
139,#sxsw prompt for memory: go to google map and describe a childhood walk,No emotion toward brand or product
140,the apple #sxsw store still has ipad 2's and short lines.,Positive emotion
141,essential #sxsw tools:,No emotion toward brand or product
142,"just left #sxsw tradeshow demo of  at the google theatre. ok, i get it. i see why all the presenters here are using it.",Positive emotion
143,"following #sxsw tweets on google realtime, four platforms on tweet deck and listening to panel, realizing i'm spoken to no one here today.",No emotion toward brand or product
144,anyone at #sxsw want an ipad 2? i'm in line and will pick one up for someone willing to pay me 50 for me to grab 1 for you?,No emotion toward brand or product
145,anyone at #sxsw want to make a quick hundred dollars? new #ipad2 from ad hoc apple store here gets hundred plus cost!,Positive emotion
146,solving a #sxsw-induced iphone-in-toilet crisis at apple store with  (not my crisis for once),No emotion toward brand or product
147,"monday at #sxsw: barry diller, new york times, congress lunch, w hotel party, google party, six dirty martinis. how mondays should be.",Positive emotion
148,attending #sxsw? austin guide by  is now free to download on itunes -  #lp,No emotion toward brand or product
149,"seriously #sxsw? did you do any testing on the mobile apps? constant ipad crashes causing lost schedules, and no sync for wp7.",Negative emotion
150,ready for #sxsw?! here are some iphone apps 2 make ur blogging easier   #sxsw #sxswi,Positive emotion
151,ipad2 and #sxsw...a conflagration of doofusness.,Negative emotion
152,attention #sxsw'ers -  - rumored pop-up temporary apple store for all your #sxsw ipad 2 launch needs.,Positive emotion
153,i went to #sxswi and all i won was this lousy #ipad #sxsw :-) :-),Positive emotion
154,hey #sxsw #sxswi folks. if you want to learn about security come over to #bsidesaustin,No emotion toward brand or product
155,attending #sxswi? work in iphone  ipad game development? looking to hire an austin-based ios developer? i'm your man. let's talk. #sxsw,No emotion toward brand or product
156,this is a #winning picture #android #google #sxsw,Positive emotion
157,gsd&m  google 7-10. rt  what's the best party to hit tonight? #sxsw,No emotion toward brand or product
158,gsd&m  google industry party #sxsw  great to meet you,No emotion toward brand or product
159,"you spent 1,000 to come to sxsw. 

you've already used ipad 1. 

the wait is a couple city blocks. 

why? #ipad2 #sxsw",Negative emotion
160,#sxsw day 1 - marissa mayer: google will connect the digital & physical worlds through mobile,No emotion toward brand or product
161,behind on 100s of emails? give them all 1 line iphone composed replies. #sxsw #protip,Positive emotion
162,it's like 10pm at night and there is a line around the block at the popup apple stores selling ipad2s. #sxsw,Positive emotion
163,1154 free songs from #sxsw (this year alone!),No emotion toward brand or product
164,more than 150 million mobile users for google maps for mobile #sxsw,No emotion toward brand or product
165,"currently 150 people in line at the ""pop up apple store"" #sxsw",No emotion toward brand or product
166,"only ipad 2 available at #sxsw is the 64gb wifi-only model at 699, plus the optional (not!) leather smart cover at 69",No emotion toward brand or product
167,we love 2 entertain youplease dont be grateful!    #edchat #musedchat #sxsw #sxswi #classical #newtwitter,No emotion toward brand or product
168,less than 2 hours until we announce the details on the ipad 2 giveaway! #sxsw #sxswi,No emotion toward brand or product
169,"i'm up to 2 ipad 2s seen in the wild. both people say it is fast, but the still pics are terrible. #sxsw",Negative emotion
170,(the ipad 2 queue at #sxsw of course,No emotion toward brand or product
171,the #ipad 2 takes over #sxsw video by,Positive emotion
172,many ipad 2's snapping away at the keynote slides! #sxsw,Positive emotion
173,apple has 200m users' credit cards sync'd with itunes for one click purchase. . #winning #sxsw,No emotion toward brand or product
174,"having my 2nd cocktail ""texas snowflake""  (  google it!!) at the #cnngrill #sxsw",No emotion toward brand or product
175,new post: 3 iphone apps we'll be using at south by southwest interactive  #sxsw #sxswi,Positive emotion
176,sweet new 3-d google maps demo going on in ballroom d #sxsw,Positive emotion
177,more than 35 million miles per day are driving with google maps navigation! #sxsw,Positive emotion
178,rt ' it's 4 p.m. and the #ipad2 line at the apple store is longer and wider  about 250 people! only one more hour. ' #sxsw,No emotion toward brand or product
179,"u  smart 4 packing an extra :) rt  on my way to sunny austin for #sxsw! extra iphone in stow, just in case.",No emotion toward brand or product
180,"wonder if 4sqwill attempt to block gowalla cross-checkins, the way facebook blocked google's contacts connections.  #sxsw #lbswars",No emotion toward brand or product
181,#sxsw day 5 at the #apple store and there's still a line...and growing,Positive emotion
182,"check out 5 steps to bulletproof ux strategy at sxsw
 #sxsw #rhjrux5",No emotion toward brand or product
183,"wandering 6th street with the girls. stopped for ceviche, mojitos, apple juice & ice cream. #sxsw",No emotion toward brand or product
184,"if you're a band at #sxsw and want to share a track with your audience from stage, use frostwire for android if there's wi-fi available",Positive emotion
185,we've got a busy week ahead: our new book on #google apps will be available on amazon & we're attending #sxsw,No emotion toward brand or product
186,"i believe a few went to aussies at #sxsw rt  ipad 2 sold out, 70 went to new buyers report -",No emotion toward brand or product
187,a google spreadsheet of over 270 parties at #sxsw this year oo   plan on going to #sxsw party on,No emotion toward brand or product
188,"there was a guy in line for apple's pop-up store on sixth street in austin. ""i'm that guy,"" he told me. #sxsw",No emotion toward brand or product
189,if u have a iphone you don't need a car'-use zimride etc to share rides #sxsw #shareable,Positive emotion
190,"i've seen a lot of tablets here, every single one of them is an ipad. #sxsw",No emotion toward brand or product
191,receiving a lot of  messages telling me i'm sexy in response to my post looking to meet fellow christian iphone devs at #sxsw,No emotion toward brand or product
192,picked up a mophie battery case 4 my iphone in prep for #sxsw. not lugging around a laptop & only using my phone was a huge win last year.,Positive emotion
193,"just took a piss at the trade show, ipad in one hand, iphone in the other. pissing. i am kiiiiiilling it right now. #sxsw",No emotion toward brand or product
194,"not to be a rumor monger, but this was a good read  #google #circles preview  #sxsw  by  via  #socbiz #fb",Positive emotion
195,hobo with a shotgun iphone game  #sxsw,No emotion toward brand or product
196,hobo with a shotgun video game coming to ipadiphone users?! yes please!  #sxsw,Positive emotion
197,build out a store in less than 24 hours and have one of the biggest launches in this company's history?  we got this.  #apple #sxsw #ipad2,Positive emotion
198,just took a survey on iphone while in starbucks line. got a free starbucks gift card. instant research. instant gratification. #sxsw #gsdm,No emotion toward brand or product
199,apple has a temporary retail store in austin for the ipad 2 release today. opens at 5pm. #sxsw #sxswi #ipad2,No emotion toward brand or product
200,just read about #groupme at #sxsw...sounds like an incredible app. is it available for android phones yet?,Positive emotion
201,wondering about circles?  google to reveal a new social network at #sxsw,No emotion toward brand or product
202,"google is about search, but local' marissa mayer #sxsw",No emotion toward brand or product
203,wondering about street closures during sxsw? we made a google map to show you:  #sxsw #austin,No emotion toward brand or product
204,"is google about to have another go at social with ""google circles""? #sxsw #google",No emotion toward brand or product
205,questions about what's inside the ipad 2? fire them my way. #sxsw,No emotion toward brand or product
206,"paraormal activity: sanctuary iphone game. sketching your ar experience. interactivity through ""magic lense"" #eduar #sxsw",No emotion toward brand or product
207,apple iie ad in the '85 si swimsuit issue at a garage sale #sxsw,No emotion toward brand or product
208,flipboard adds instagram photos and social search apps  #apple #socialsearch #sxsw,No emotion toward brand or product
209,spent the aftrnoon on a frozen lake photographing my brother scott & the  team. catch them at #sxsw ths weeknd.,No emotion toward brand or product
210,"if iphone alarms botch the timechange, how many #sxsw'ers freak? late to flights, missed panels, behind on bloody marys...",Negative emotion
211,shouts to all the ladies holding up their ipad 2's at free #sxsw shows to take photos while sipping free beer. cc:,Positive emotion
212,"dj hoodie allen, with all due respect, you should probably make your way back to google #sxsw",No emotion toward brand or product
213,i meant i also wish i  at #sxsw #dyac stupid iphone!,Negative emotion
214,audioboo: american dream or bust  #ipad #sxsw #bum #begger #us #socialart #documentally,No emotion toward brand or product
215,skifta is an app-based media shifting service that turns your android phone into a ...  #sxsw #mashable #sxswi,No emotion toward brand or product
216,rumors of an apple store opening for #sxsw at 6th & congress. all signs point to yes!,Positive emotion
217,what does an apple security guy after he locks up the store..... #sxsw -,No emotion toward brand or product
218,how i got an ipad 2 during #sxsw!   cc,No emotion toward brand or product
219,picked up an ipad 2 at the #sxsw pop up  apple store! only 15 minute wait!,Positive emotion
220,brilliant and enlightening game mechanics presentation by  from google #sxsw,Positive emotion
221,gsd&m and google.....sitting in a tree  #sxsw #gsdm,No emotion toward brand or product
222,and here's a pic of you winning your ipad! #unsix #sxsw cc     (cont),No emotion toward brand or product
223,my iphone and i are both very thirsty! #sxsw ( chevy volt lounge w 16 others),No emotion toward brand or product
224,my iphone and i are both very thirsty! #sxsw ( chevy volt lounge w 16 others),No emotion toward brand or product
225,"i came in and left #sxsw with my iphone playing the same song, chosen at random: skream's listening to the records on my wall. appropriate.",No emotion toward brand or product
226,marketing and sales genius:  #apple #sxsw,Positive emotion
227,"arduino  android  flaming skulls   refrigerator speaks , salon k, 3:30pm   #sxsw #smartthings",No emotion toward brand or product
228,reminder: android and chrome tts talk  1 pm today!    #sxsw,No emotion toward brand or product
229,ipad 2 vs android vs the world : panel at #sxsw today 3:30pm by,No emotion toward brand or product
230,"backupify announces cloudsight search, the first searchable archive solution for social media and google apps #sxsw #sxswi",No emotion toward brand or product
231,"google is announcing a social network ""circles"" (via #sxsw tweets). interesting. myopia will cause buzz jokes. but this is interesting.",No emotion toward brand or product
232,"do i need any more for #sxsw! ipad, iphone, laptop, dictaphone, vid.camera.... wow! love to  meet the real 'cerebellum' charged people:)",Positive emotion
233,did u see anything on google's circles at the #sxsw?,No emotion toward brand or product
234,the #sxsw app for my iphone is ridiculous. it's my personal planner for the next 5 days.,Positive emotion
235,our #sxsw app is now on #android :d huge props to    &  get it now:,No emotion toward brand or product
236,"found the app kyping my iphone's geolocation & not releasing when in background. need a patch,  #batterykiller #sxsw",Negative emotion
237,the #sxsw app on the iphone is live. rsvp for events from your phone & check out sundayswagger.eventbrite.com 320 #scoremore,Positive emotion
238,my iphone app screen for #sxsw what am i missing?,No emotion toward brand or product
239,"love this app! so awesome. rt  must see #android app at #sxsw ""bizzy""",Positive emotion
240,"the #sxsw apple ""pop-up"" store was nuts. was still packed at 11:30.",No emotion toward brand or product
241,say what? apple #sxsw popup store in austin!,No emotion toward brand or product
242,"breaking: apple announces partnership wporn industry for new #ipad2 video chat app called, ""o-facetime"". #sxsw",No emotion toward brand or product
243,of course apple built a temp store in austin. it's texas. they understand the concept of corralling cattle #sxsw #pickmeupanipad2,Negative emotion
244,love that apple didn't let something like not having a retail store near #sxsw keep them away by opening a pop-up store,Positive emotion
245,surprise! apple has opened a pop-up store in austin so that the nerds in town for #sxsw can get their new ...  #cnet,Positive emotion
246,"#technews apple heads to sxsw, sets up temporary store in austin  #technews #apple #ipad2 #rancewilemon #sxsw #tech",No emotion toward brand or product
247,apple is a great example of a retail store layed out for the future - no 'registers' no 'checkout line'  #sxsw,Positive emotion
248,apple is opening up a temporary store in downtown austin for #sxsw and the ipad 2 launch  #gswsxsw,Positive emotion
249,#technews apple opening pop-up store in austin for sxsw  #technews #americanstatesman #apple #appleapple #sxsw #tech,No emotion toward brand or product
250,#technews apple opening pop-up store in austin for sxsw geekfest apple  #technews #apple #brianlam #ipad2 #sxsw #tech,No emotion toward brand or product
251,"the #sxsw apple popup store is open at noon, has a fresh shipment of ipad 2's, and i'm pretty sure i'm going to get one. fingers crossed",Positive emotion
252,"#technews apple saves sxsw, set to open pop-up store  #technews #apple #sxsw #tech",Positive emotion
253,"at #sxsw, apple schools the marketing experts  via   true. love or loathe them, no one does marketing like them.",Positive emotion
254,"at #sxsw, apple schools the marketing experts  cnet blogs  #austin #atx #retail",Positive emotion
255,apple store downtown austin open til midnight. #sxsw  there's still time :),Positive emotion
256,apple store downtown austin open til midnight. #sxsw any ipad2 left in stock?,No emotion toward brand or product
257,apple store on congress   #sxsw #austin,No emotion toward brand or product
258,"""the apple store at the mall on sunday is 10x as crowded as this. this line is fake. i just need a fucking dongle."" genius let me in. #sxsw",Negative emotion
259,2wks only apple store in 6th austin street is now opened. #sxsw,No emotion toward brand or product
260,a special apple store: opening at 6th and congress for sxsw & ipad 2 launch.   #apple #ipad2 #sxsw #fb,No emotion toward brand or product
261,makeshift apple store at 6th and congress. you're kidding me. amazing #sxsw #apple,Positive emotion
262,temporary apple store at #sxsw - huge line.,No emotion toward brand or product
263,temporary apple store at sxsw is really cool...as is the ipad 2 :) #apple #sxsw #fanboy,Positive emotion
264,temporary apple store being set up for #sxsw... shit now the temptation is going to be out of control.,Positive emotion
265,"temporary apple store for #sxsw, line goes around the block",No emotion toward brand or product
266,temporary apple store opens  6th & congress tomorrow. #ipad2 #sxsw,No emotion toward brand or product
267,temporary apple store opens at 5pm at 6th and congress. line already growing. #ipad - view.io  via  #sxsw,Positive emotion
268,temporary apple store will be a block from my office! can't wait to see the line tomorrow. photos to come... #sxsw #ipad2,Positive emotion
269,the #sxsw apple store opens at noon each day and closes when they run out of ipad2s. why didn't i buy stock 10 years ago?,No emotion toward brand or product
270,base camp apple.  #sxsw,No emotion toward brand or product
271,ipad news apps 'so last year' at #sxsw,Negative emotion
272,10 iphone apps youll probably need and use during #sxsw,Positive emotion
273,now there are 150 million mobile google maps users  #sxsw,Positive emotion
274,the lines are already forming at apple's pop-up store in austin. aren't these people here to see the festival?  #sxsw,No emotion toward brand or product
275,and a few are android too rt  10 new mobile apps ill be using at#sxsw,Positive emotion
276,"#sxsw you are attending sxsw? report what you see with your android phone, get bannka app.",No emotion toward brand or product
277,"ipad apps are just like software development in that once you release it, you have to start working on the update. #sxsw",Positive emotion
278,"my tweets are stalled. data sluggish. come on at&t, verizon is embarrassing iphone customers who haven't switched. #sxsw #iphone",No emotion toward brand or product
279,"those who are tweeting that google is coming out with circles platform today are outside of the circle, keep up #itsnot #sxsw",No emotion toward brand or product
280,are you stupid? find it out at the #sxsw on your mac  for a special price! #games #mac,No emotion toward brand or product
281,slate see as much traffic to mobile safari as to their app on the ipad #sxsw #electricnews,No emotion toward brand or product
282,unloading at #apple store corner of 6th and congress in austin. temp store for #sxsw,No emotion toward brand or product
283,great day at #sxsw -but jaloux of  & his new ipad.look at him on school bus on 1st day of school,No emotion toward brand or product
284,i arrived at #sxsw and my  issue hasn't been resolved. dying to use the iphone app but cant login. rt  we're on it,No emotion toward brand or product
285,i will be at #sxsw for screenburn  launch of my clients new iphone game #travellerarlaunch find out more at,No emotion toward brand or product
286,"if anyone at #sxsw wants to see a demo of piccraft or an ipad 2, find me",No emotion toward brand or product
287,if i were at #sxsw i could spend it all at the  teaching theater alone; just look at that schedule:,No emotion toward brand or product
288,if you're at #sxsw : meet us at fado. we will give you wristbands that magically lead to beer. come say hi!,No emotion toward brand or product
289,"if you're at #sxsw and want an ipad 2, apple's setting up a temporary store. check it out!",No emotion toward brand or product
290,"overheard at #sxsw ""the ipad is a relaxing computer"": agreed. #ipad #apple",Positive emotion
